アフガニスタン,As,s
アルバニア,Eu,b
アルジェリア,Af,n
アンドラ,Eu,
アンゴラ,Af,c
南極,An,
アンティグア・バーブーダ,Na,c
アルゼンチン,Sa,
アルメニア,As,w
アルバ,Na,c
オーストラリア,Oc,
オーストリア,Eu,
アゼルバイジャン,As,w
バハマ,Na,c
バーレーン,As,w
バングラデシュ,As,s
バルバドス,Na,c
ベラルーシ,Eu,
ベルギー,Eu,
ベリーズ,Na,
ベナン,Af,w
ブータン,As,s
ボリビア,Sa,
ボスニア・ヘルツェゴビナ,Eu,b
ボツワナ,Af,s
ブラジル,Sa,
ブルネイ,As,se
ブルガリア,Eu,b
ブルキナ・ファソ,Af,w
ブルンジ,Af,E
カンボジア,As,se
カメルーン,Af,c
カナダ,Sa,
カーボベルデ,Af,W
カタルーニャ,Eu,
中央アフリカ,Af,c
チャド,Af,c
チリ,Sa,
中国,As,e
コロンビア,Sa,
コモロ,Af,E
コンゴ民主共和国,Af,c
コンゴ共和国,Af,c
コスタリカ,Na,
コートジボワール,Af,w
クロアチア,Eu,b
キューバ,Na,c
キプロス,As,w
チェコ,Eu,
デンマーク,Eu,
ジブチ,Af,e
ドミニカ,Na,c
ドミニカ共和国,Na,c
エクアドル,Sa,
エジプト,Af,s
エルサルバドル,Na,
イングランド,Eu,
赤道ギニア,Af,c
エリトリア,Af,e
エストニア,Eu,
エチオピア,Af,e
欧州連合,Eu,
フェロー諸島,Eu,
フィジー,Oc,
フィンランド,Eu,
フランス,Eu,
ガボン,Af,c
ガンビア,Af,w
ジョージア,As,w
ドイツ,Eu,
ガーナ,Af,w
ジブラルタル,Eu,
ギリシャ,Eu,b
グリーンランド,Na,
グレナダ,Na,c
グアテマラ,Na,
ギニア,Af,w
ギニア・ビサウ,Af,w
ガイアナ,Sa,
ハイチ,Na,c
ホンジュラス,Na,
ハンガリー,Eu,
香港,As,e
アイスランド,Eu,
インド,As,s
インドネシア,As,se
イラン,As,s
イラク,As,se
アイルランド,Eu,
イスラエル,As,se
イタリア,Eu,
ジャマイカ,Na,c
日本,As,e
ヨルダン,As,w
カザフスタン,As,c
ケニア,Af,e
キリバス,Oc,
北朝鮮,As,e
韓国,As,e
クウェート,As,w
キルギス,As,c
ラオス,As,se
ラトビア,Eu,
レバノン,As,w
レソト,Af,s
リベリア,Af,w
リビア,Af,n
リヒテンシュタイン,Eu,
リトアニア,Eu,
ルクセンブルク,Eu,
マカオ,As,e
北マケドニア,Eu,b
マダガスカル,Af,e
マラウイ,Af,e
マレーシア,As,se
モルディブ,As,s
マリ,Af,w
マルタ,Eu,
マーシャル諸島,Oc,
モーリタニア,Af,w
モーリシャス,Af,e
メキシコ,Na,
ミクロネシア連邦,Oc,
モルドバ,Eu,
モナコ,Eu,
モンゴル,As,e
モンテネグロ,Eu,b
モロッコ,Af,n
モザンビーク,Af,e
ミャンマー,As,se
ナミビア,Af,s
ナウル,Oc,
ネパール,As,s
オランダ,Eu,
ニュージーランド,Oc,
ニカラグア,Na,
ニジェール,Af,w
ナイジェリア,Af,w
ノルウェー,Eu,
北アイルランド,Eu,
オマーン,As,w
パキスタン,As,s
パラオ,Oc,
パレスチナ,As,w
パナマ,Na,
パプアニューギニア,Oc,
パラグアイ,Sa,
ペルー,Sa,
フィリピン,As,se
ポーランド,Eu,
ポルトガル,Eu,
プエルトリコ,Na,c
カタール,As,w
ルーマニア,Eu,b
ロシア,Eu,
ルワンダ,Af,e
セントクリストファー・ネービス,Na,c
セントルシア,Na,c
セントビンセントおよびグレナディーン諸島,Na,c
サモア,Oc,
サン・マリノ,Eu,
サントメ・プリンシペ,Af,c
サウジアラビア,As,w
スコットランド,Eu,
セネガル,Af,w
セルビア,Eu,b
セーシャル,Af,e
シエラレオネ,Af,w
シンガポール,As,se
スロバキア,Eu,
スロベニア,Eu,b
ソロモン諸島,Oc,
ソマリア,Af,e
南アフリカ,Af,s
スペイン,Eu,
スリランカ,As,s
スーダン,Af,n
スリナム,Sa,
エスワティニ,Af,s
スウェーデン,Eu,
スイス,Eu,
シリア,As,w
タジキスタン,As,c
タンザニア,Af,e
タイ,As,se
東ティモール,As,se
トーゴ,Af,w
トンガ,Oc,
トリニダード・トバゴ,Na,c
チュニジア,Af,n
トルコ,As,w
トルクメニスタン,As,c
ツバル,Oc,
ウガンダ,Af,e
ウクライナ,Eu,
アラブ首長国連邦,As,w
イギリス,Eu,
アメリカ,Na,
ウルグアイ,Sa,
ウズベキスタン,As,c
バヌアツ,Oc,
バチカン市国,Eu,
ベネズエラ,Sa,
ベトナム,As,se
ウェールズ,Eu,
西サハラ,Af,
イエメン,As,w
ザンビア,Af,s
ジンバブエ,Af,s